Name,Units,NAV,Investment,Current Value,P&L,P&L%
Bank of India Small Cap Fund Direct - Growth,388.408,54.92,"19,999.05","21,331.37","1,332.32",6.66%
Motilal Oswal ELSS Tax Saver Fund Direct - Growth,376.758,61.976,"20,498.99","23,349.95","2,850.97",13.91%
SBI ELSS Tax Saver Fund Direct - Growth,11.51,463.9594,"4,999.70","5,340.17",340.47,6.81%
JM Large Cap Fund Direct - Growth,242.702,171.5878,"40,498.03","41,644.70","1,146.67",2.83%
JM Flexicap Fund Direct - Growth,"1,161.50",106.8556,"1,26,893.45","1,24,112.67","-2,780.78",-2.19%
Edelweiss Gold and Silver ETF FoF Fund Direct - Growth,68.795,34.469,"2,499.87","2,371.29",-128.58,-5.14%
Invesco India Financial Services Fund Direct - Growth,173.776,169.6,"28,998.64","29,472.41",473.77,1.63%
Invesco India Mid Cap Fund Direct - Growth,40.636,217.06,"8,999.64","8,820.45",-179.19,-1.99%
Motilal Oswal Midcap Fund Direct - Growth,881.688,104.8667,"1,02,294.86","92,459.71","-9,835.15",-9.61%
Motilal Oswal Nifty Smallcap 250 Index Fund Direct - Growth,463.428,37.4267,"17,999.10","17,344.58",-654.52,-3.64%
Axis Greater China Equity FoF Fund Direct - Growth,452.304,12.32,"4,999.77","5,572.39",572.62,11.45%
Axis Small Cap Fund Direct - Growth,46.881,122.8,"5,749.73","5,756.99",7.26,0.13%
Bandhan Small Cap Fund Direct - Growth,616.528,52.161,"31,498.47","32,158.72",660.24,2.10%
HDFC Flexi Cap Fund Direct - Growth,47.508,"2,137.00","1,03,996.93","1,01,524.60","-2,472.33",-2.38%
JioBlackRock Nifty 50 Index Fund Direct - Growth,"2,842.29",9.6644,"28,498.59","27,469.03","-1,029.56",-3.61%
JioBlackRock Flexi Cap Fund Direct - Growth,"3,286.72",9.6951,"32,998.37","31,865.09","-1,133.28",-3.43%
Kotak Gold Silver Passive FoF Fund Direct - Growth,212.807,15.393,"3,499.82","3,275.74",-224.09,-6.40%
Kotak Nifty Next 50 Index Fund Direct - Growth,"4,088.46",20.3767,"80,196.08","83,309.32","3,113.25",3.88%
SBI Banking & Financial Services Fund Direct - Growth,890.686,48.0986,"43,497.92","42,840.75",-657.17,-1.51%
HSBC Multi Asset Active FoF Fund Direct - Growth,536.404,42.8283,"22,998.84","22,973.27",-25.57,-0.11%
ICICI Prudential Dividend Yield Equity Fund Direct - Growth,377.996,59.12,"21,498.99","22,347.12",848.13,3.94%
Parag Parikh Flexi Cap Fund Direct - Growth,"1,423.65",91.2902,"1,27,993.75","1,29,965.11","1,971.36",1.54%
Nippon India Large Cap Fund Direct - Growth,119.602,99.5502,"11,499.41","11,906.40",407,3.54%
Nippon India Multi Cap Fund Direct - Growth,118.936,326.582,"37,798.25","38,842.36","1,044.10",2.76%
Nippon India Multi Asset Allocation Fund Direct - Growth,"1,085.77",26.2714,"28,498.57","28,524.65",26.07,0.09%
