Name,Units,NAV,Investment,Current Value,P&L,P&L%
Invesco India Financial Services Fund Direct - Growth,97.656,169.6,"16,999.10","16,562.46",-436.64,-2.57%
Invesco India Mid Cap Fund Direct - Growth,164.607,217.06,"34,998.26","35,729.60",731.34,2.09%
Motilal Oswal Flexi Cap Fund Direct - Growth,401.83,62.1118,"26,498.68","24,958.38","-1,540.29",-5.81%
Motilal Oswal Midcap Fund Direct - Growth,543.053,104.8667,"63,996.75","56,948.18","-7,048.58",-11.01%
Motilal Oswal Large and Midcap Fund Direct - Growth,"1,267.32",37.7956,"45,497.74","47,899.04","2,401.30",5.28%
Motilal Oswal BSE Financials ex Bank 30 Index Fund Direct - Growth,107.725,17.1176,"1,999.89","1,843.99",-155.9,-7.80%
Axis Greater China Equity FoF Fund Direct - Growth,"1,094.58",12.32,"12,199.40","13,485.26","1,285.86",10.54%
Bandhan Nifty 50 Index Fund Direct - Growth,961.688,53.3767,"52,997.42","51,331.73","-1,665.69",-3.14%
HDFC Flexi Cap Fund Direct - Growth,33.035,"2,137.00","74,696.18","70,595.80","-4,100.39",-5.49%
JioBlackRock Flexi Cap Fund Direct - Growth,847.874,9.6951,"8,699.57","8,220.22",-479.35,-5.51%
Kotak Nifty Next 50 Index Fund Direct - Growth,516.101,20.3767,"10,499.49","10,516.44",16.94,0.16%
SBI Banking & Financial Services Fund Direct - Growth,"1,263.03",48.0986,"63,996.81","60,749.97","-3,246.83",-5.07%
ICICI Prudential Large Cap Fund Direct - Growth,40.393,117.64,"5,099.71","4,751.83",-347.87,-6.82%
ICICI Prudential NASDAQ 100 Index Fund Direct - Growth,440.062,22.4259,"8,499.58","9,868.79","1,369.21",16.11%
Nippon India Multi - Asset Omni FoF Fund Direct - Growth,"1,726.46",24.3509,"41,997.91","42,040.95",43.04,0.10%
Nippon India Multi Asset Allocation Fund Direct - Growth,460.746,26.2714,"11,999.41","12,104.44",105.03,0.88%
Edelweiss Mid Cap Fund Direct - Growth,320.268,121.41,"38,998.00","38,883.74",-114.27,-0.29%
UTI Multi Asset Allocation Fund Direct - Growth,218.57,86.4204,"19,498.99","18,888.91",-610.08,-3.13%
Edelweiss Gold and Silver ETF FoF Fund Direct - Growth,512.45,34.469,"19,099.07","17,663.64","-1,435.43",-7.52%
Bandhan Small Cap Fund Direct - Growth,147.042,52.161,"7,499.65","7,669.86",170.21,2.27%
Invesco India - Invesco Global Equity Income FoF Fund Direct - Growth,408.468,39.9164,"14,499.28","16,304.57","1,805.29",12.45%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
