Fund,Scheme,Category,Sub Category,Rating,Units Held,Average Cost Price,Value At Cost,Last Recorded NAV On,Last Recorded NAV,Value at NAV,Realized Profit/Loss,Profit/ Loss,Profit/ Loss %,Research Recommends
NIPPON INDIA MUTUAL FUND,Nippon India Multi Cap Fund - Growth Plan,Equity,Multi Cap Fund,5,1942.342,186.48,362205.32,23-Jan-26,281.1734,"5,46,134.90",0,183929.58,50.78,Gold
KOTAK MAHINDRA MUTUAL FUND,Kotak Multicap Fund - Regular Plan - Growth,Equity,Multi Cap Fund,0,10260.279,16.33,167591.62,23-Jan-26,19.072,"1,95,684.04",0,28092.42,16.76,N/A
AXIS ASSET MANAGEMENT COMPANY LIMITED,Axis Midcap Fund - Growth,Equity,Mid Cap Fund,2,1607.323,68.34,109844.42,23-Jan-26,107.21,"1,72,321.10",0,62476.67,56.88,Silver
PPFAS ASSET MANAGEMENT PRIVATE LIMITED,Parag Parikh Elss Tax Saver Fund - Regular Plan-Growth,Equity,Tax Planning,0,4311.436,21.45,92495.39,23-Jan-26,30.7038,"1,32,377.47",0,39882.08,43.12,N/A
BANDHAN MUTUAL FUND,BANDHAN NIFTY 50 INDEX FUND - REGULAR PLAN - GROWTH,Others,Index Fund,3,2442.678,50.35,122993.85,23-Jan-26,53.956,"1,31,797.13",0,8803.28,7.16,Silver
BANDHAN MUTUAL FUND,Bandhan ELSS Tax Saver Fund - Regular Plan - Growth,Equity,Tax Planning,4,776.632,104.29,80995.84,23-Jan-26,151.13,"1,17,372.39",0,36376.55,44.91,Gold
MIRAE ASSET GLOBAL INVESTMENT MGMT INDIA P LTD,Mirae Asset Balanced Advantage Fund Regular Plan Growth,Hybrid,Dynamic Asset Allocation or Balanced Advantage Fund,0,7557.618,10.21,77126.66,23-Jan-26,14.256,"1,07,741.40",0,30614.74,39.69,N/A
ICICI PRUDENTIAL MUTUAL FUND,ICICI Prudential Large Cap Fund Erstwhile Bluechip Fund - Growth,Equity,Large Cap Fund,5,972.277,73.66,71616.82,23-Jan-26,110.44,"1,07,378.27",0,35761.45,49.93,Gold
HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFC Flexicap Fund - Growth Option,Equity,Flexi Cap,5,51.236,1625.73,83295.86,23-Jan-26,"2,020.55","1,03,524.75",0,20228.89,24.29,Gold
Quant Money Managers Ltd,Quant Elss Tax Saver Fund Regular Plan - Growth,Equity,Tax Planning,3,225.626,398.87,89995.42,23-Jan-26,346.404,"78,157.75",0,-11837.67,13.15,N/A
JM FINANCIAL ASSET MANAGEMENT LIMITED,JM Flexicap Fund - Growth Option,Equity,Flexi Cap,4,837.449,104.48,87495.59,23-Jan-26,91.9197,"76,978.06",0,-10517.53,12.02,Silver
